EA,T,value
0,7678,6.671029050695895e-09
0,7679,6.673487885793535e-09
0,7680,4884.066133972607
0,7681,7530.574426121144
0,7682,6136.00779491724
0,7683,4199.572466052129
0,7684,1899.881368783695
0,7685,6.671809011966025e-09
0,7686,6.6708021265679415e-09
0,7687,6.670713730715245e-09
0,7688,6.670704027127824e-09
0,7689,6.670721282479838e-09
0,7690,6.6707573793165864e-09
0,7691,6.670785901944063e-09
0,7692,6.670801295312677e-09
0,7693,6.6708025548252586e-09
0,7694,6.670742222871558e-09
0,7695,6.6707105604488e-09
0,7696,6.6706916544438715e-09
0,7697,6.670679170698653e-09
0,7698,6.6706969184690356e-09
0,7699,6.670721172413835e-09
0,7700,6.6707611465752404e-09
0,7701,6.670825606920939e-09
0,7702,6.670934470866561e-09
0,7703,6.671821035326814e-09
0,7704,1196.8231728065412
0,7705,2589.9451284682054
0,7706,2386.4935624515338
0,7707,1703.4722766813618
0,7708,6.674172972131441e-09
0,7709,6.670997702651109e-09
0,7710,6.670734698776991e-09
0,7711,6.670686426865688e-09
0,7712,6.670670726700047e-09
0,7713,6.67070164765388e-09
0,7714,6.67072957684838e-09
0,7715,6.6707947357887365e-09
0,7716,6.67104448237835e-09
0,7717,6.670936330078469e-09
0,7718,6.670746724731394e-09
0,7719,6.670690410404888e-09
0,7720,6.670661135972143e-09
0,7721,6.670673848916853e-09
0,7722,6.670712880260284e-09
0,7723,6.670779445568407e-09
0,7724,6.671456962721641e-09
0,7725,5321.532605543289
0,7726,12176.797319048284
0,7727,13031.320794196961
0,7728,13031.320794196963
0,7729,13031.320794196961
0,7730,13031.320794196961
0,7731,13031.320794196963
0,7732,13031.320794196961
0,7733,13031.320794196963
0,7734,12546.127484816563
0,7735,6.67351376487777e-09
0,7736,6.670932449055667e-09
0,7737,6.6710837970009385e-09
0,7738,6.671545346858178e-09
0,7739,6.6717094339172425e-09
0,7740,6.673465691582141e-09
0,7741,1476.4222918875357
0,7742,6.671573317726699e-09
0,7743,6.670822640367612e-09
0,7744,6.670750865202929e-09
0,7745,6.670727338361376e-09
0,7746,6.670729820194169e-09
0,7747,6.6707467463561455e-09
0,7748,6.6707675304194654e-09
0,7749,6.670849530406846e-09
0,7750,6.671136191741774e-09
0,7751,3211.5816825033685
0,7752,11096.44786207524
0,7753,11081.249821006495
0,7754,8311.693054425263
0,7755,5288.118523905683
0,7756,6.682044535888054e-09
0,7757,6.670952380030601e-09
0,7758,6.670725960567419e-09
0,7759,6.67066638171156e-09
0,7760,6.670617462761953e-09
