IA,T,value
0,6684,1.6447924221772194e-06
0,6685,2.174584488897572e-06
0,6686,2.174699270837384e-06
0,6687,2.17471539387345e-06
0,6688,2.1747231049619453e-06
0,6689,2.174725855510432e-06
0,6690,2.1747263500633985e-06
0,6691,2.1747259836843794e-06
0,6692,2.1747225332213738e-06
0,6693,2.1747142426515372e-06
0,6694,2.174696770055034e-06
0,6695,2.1737209298070166e-06
0,6696,1.6447494975806165e-06
0,6697,1.6447482027934224e-06
0,6698,1.6447490249378582e-06
0,6699,1.6447510989023393e-06
0,6700,1.644784022765411e-06
0,6701,2.1746654574881282e-06
0,6702,2.174721057214557e-06
0,6703,2.1747285858738936e-06
